,year,kind,rating,vote,runtime,first_country,num_language,first_genre,second_genre,first_actor,second_actor,first_director,first_composer,first_writer
81,2004,3,6,398.0,84.0,10,1,7,0,2489,3244,999,1327,384
82,1992,1,7,140.0,60.0,10,1,6,15,11,32,2819,1977,3465
83,2001,3,6,317.0,75.0,62,1,7,15,280,3078,3067,1654,2510
84,2002,1,6,418.0,90.0,57,2,6,0,1223,1478,1234,586,1488
85,2004,7,7,368.0,65.0,62,1,6,0,357,2641,2862,1691,3507
88,1993,4,8,56687.0,101.0,62,2,0,2,410,4542,4121,2652,3929
89,2003,1,7,956.0,160.0,62,1,6,4,2100,71,1993,4,5036
90,1982,1,6,6270.0,119.0,65,1,7,0,593,1758,3134,1947,2066
92,1995,1,6,831.0,42.0,61,1,7,0,1964,1472,3783,2137,4605
93,1981,2,8,288.0,86.0,61,1,3,8,3950,5091,4121,2652,1410
94,2004,3,7,978.0,89.0,61,1,6,8,1148,3657,1828,642,2234
95,1999,0,7,794.0,118.0,61,1,5,8,2350,1171,2766,1193,1194
96,1996,1,4,1001.0,75.0,62,1,5,14,3637,4101,680,2138,792
97,2001,1,8,164.0,100.0,62,1,4,0,732,5372,4121,2652,5036
98,2003,7,8,371.0,100.0,61,1,6,15,4531,4588,1429,2652,5036
100,2002,1,7,1448.0,88.0,32,2,7,26,4215,1696,293,191,375
101,1919,1,7,9947.0,76.0,62,1,7,20,2825,4571,750,2652,4641
102,1976,1,7,8088.0,94.0,61,1,6,15,2298,2711,3010,2652,3681
103,2003,7,6,2068.0,92.0,62,2,2,2,2217,3063,3489,1636,40
104,1997,1,8,46163.0,100.0,37,1,2,1,3149,3789,1483,2273,1769
105,2003,4,6,128.0,85.0,37,1,1,3,3850,3545,4121,2652,4170
106,1999,0,7,899.0,93.0,61,1,5,8,2350,1171,1759,1193,305
107,2002,7,4,6544.0,119.0,62,1,2,2,2071,2499,422,350,2493
108,1999,1,6,5245.0,30.0,30,1,7,20,65,3508,1550,526,3339
109,1967,1,7,2436.0,75.0,61,1,7,13,3569,2208,3005,2099,3726
110,2001,4,5,416.0,89.0,61,1,2,9,1502,2834,4121,2652,1737
111,1942,1,6,6167.0,114.0,62,2,2,22,1557,2815,4012,686,4599
112,1973,1,6,826.0,90.0,37,1,0,6,3816,3485,3797,2652,4624
113,1999,7,5,610.0,76.0,62,1,0,21,1598,746,1561,2327,1445
114,1991,1,5,413.0,91.0,50,1,7,0,4781,400,1529,2652,4833
115,1984,1,6,2925.0,120.0,62,1,4,20,1307,241,383,1495,2427
116,1998,1,7,91.0,77.0,61,1,14,0,4147,261,888,2652,5036
117,1993,1,7,7668.0,73.0,27,1,0,5,2204,2796,724,2161,2706
118,1997,1,6,67.0,69.0,37,2,2,5,168,5325,2078,2652,3425
119,1996,3,7,4208.0,65.0,62,1,7,25,1187,5055,596,448,3561
120,2005,7,3,502.0,101.0,62,1,0,14,3107,248,1219,2599,103
121,1994,1,5,14.0,108.0,62,1,6,15,2904,3350,1717,2652,5036
122,2003,1,7,202.0,88.0,62,1,4,0,850,2585,343,2652,5036
123,1998,1,3,271.0,95.0,15,1,0,8,3451,531,2743,1955,737
124,2005,7,7,134.0,102.0,62,1,4,0,1677,1145,3876,2652,5036
125,2003,7,7,164.0,93.0,62,1,6,15,2336,5716,3583,2652,5036
126,2000,3,6,641.0,6.0,62,1,3,8,3697,1182,842,611,28
127,2003,3,5,399.0,98.0,62,1,25,0,694,722,1201,1213,1452
128,1988,1,7,67057.0,83.0,62,1,7,20,1689,2702,3626,851,774
129,1990,7,7,21.0,139.0,62,2,2,22,741,1767,1986,2652,4736
130,2002,7,6,22.0,309.0,62,1,14,0,4415,1956,1538,2652,5036
131,1974,1,5,4065.0,90.0,61,2,0,14,3655,1262,3423,1071,1148
132,2005,1,6,166.0,83.0,62,1,4,0,2391,4798,343,2652,2276
133,1997,3,7,594.0,100.0,62,2,7,0,4279,3842,2031,482,3926
134,1984,1,5,2175.0,147.0,35,1,1,14,2848,3283,3426,447,661
135,2004,1,5,470.0,91.0,37,1,13,0,825,3975,2254,2652,3424
136,1998,3,4,1975.0,128.0,62,1,4,14,747,4085,3196,1736,3164
137,2004,0,8,219.0,87.0,67,0,6,18,2913,1994,1372,495,1634
138,1998,1,6,305.0,146.0,62,1,6,15,3991,1351,1993,2652,5036
139,2001,0,7,16.0,90.0,67,0,6,15,4348,923,4121,2324,2868
